folder,name,target,description,pattern,url
OC,OpenCore.efi,latest,Bootloader for macOS and other systems,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
OC/Drivers,OpenRuntime.efi,latest,Normal functioning of UEFI Runtime Services,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
CLOVER,CLOVERX64.efi,5122,Bootloader for macOS and other systems,CloverV2.*.zip,https://github.com/CloverHackyColor/CloverBootloader
CLOVER/drivers/UEFI,ApfsDriverLoader.efi,5122,Open source apfs.efi loader,CloverV2.*.zip,https://github.com/CloverHackyColor/CloverBootloader
CLOVER/drivers/UEFI,OpenRuntime.efi,5122,Normal functioning of UEFI Runtime Services,CloverV2.*.zip,https://github.com/CloverHackyColor/CloverBootloader
CLOVER/drivers/UEFI,OcQuirks.efi,5122,Normal functioning of UEFI Runtime Services,CloverV2.*.zip,https://github.com/CloverHackyColor/CloverBootloader
Drivers,HfsPlus.efi,latest,Proprietary HFS file system driver,.*RELEASE,https://github.com/acidanthera/OcBinaryData/raw/master/Drivers/HfsPlus.efi
Kexts,AirportBrcmFixup.kext,latest,Broadcom Wi-Fi driver,.*RELEASE,https://github.com/acidanthera/AirportBrcmFixup
Kexts,AirportItlwm.kext,v1.1.0,Intel Wi-Fi driver,.*RELEASE,https://github.com/OpenIntelWireless/itlwm
Kexts,AppleALC.kext,latest,Native macOS HD audio,.*RELEASE,https://github.com/acidanthera/AppleALC
Kexts,BrcmBluetoothInjector.kext,latest,Inject the BT hardware data,.*RELEASE,https://github.com/acidanthera/BrcmPatchRAM
Kexts,BrcmFirmwareData.kext,latest,Most appropriate for bootloader injection,.*RELEASE,https://github.com/acidanthera/BrcmPatchRAM
Kexts,BrcmPatchRAM3.kext,latest,Apply the firmware update to Bluetooth,.*RELEASE,https://github.com/acidanthera/BrcmPatchRAM
Kexts,BrightnessKeys.kext,latest,Automatic handling of brightness keys,.*RELEASE,https://github.com/acidanthera/BrightnessKeys
Kexts,CPUFriend.kext,latest,Dynamic CPU power management,.*RELEASE,https://github.com/acidanthera/CPUFriend
Kexts,CPUFriendDataProvider.kext,latest,Custom frequency data,CPUFriendDataProvider.kext,https://github.com/xxxzc/xps15-9570-macos
Kexts,IntelBluetoothFirmware.kext,latest,Upload Intel Bluetooth Firmware,.*RELEASE,https://github.com/OpenIntelWireless/IntelBluetoothFirmware
Kexts,IntelBluetoothInjector,latest,Inject the BT hardware data,.*RELEASE,https://github.com/OpenIntelWireless/IntelBluetoothFirmware
Kexts,Lilu.kext,latest,Arbitrary kext and process patching,.*RELEASE,https://github.com/acidanthera/Lilu
Kexts,NVMeFix.kext,latest,Improve compatibility with non-Apple SSDs,.*RELEASE,https://github.com/acidanthera/NVMeFix
Kexts,SMCBatteryManager.kext,latest,Emulation layer of AppleSmartBattery,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,SMCDellSensors.kext,latest,Add support for temperature and fan monitoring,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,SMCProcessor.kext,latest,Add support for temperature monitoring,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,Sinetek-rtsx.kext,latest,SD card driver,.*RELEASE,https://github.com/cholonam/Sinetek-rtsx
Kexts,VerbStub.kext,1.0,VerbStub for audio,VerbStub.kext.zip,https://github.com/xxxzc/ComboJack
Kexts,USBPorts.kext,latest,Define USB ports,USBPorts.kext,https://github.com/xxxzc/xps15-9570-macos
Kexts,VirtualSMC.kext,latest,SMC emulator layer,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,VoodooI2C.kext,latest,Add support for I2C bus devices,^(?!.*Debug),https://github.com/alexandred/VoodooI2C
Kexts,VoodooI2CHID.kext,latest,Add support for I2C-HID,^(?!.*Debug),https://github.com/alexandred/VoodooI2C
Kexts,VoodooPS2Controller.kext,latest,PS/2 controller,.*RELEASE,https://github.com/acidanthera/VoodooPS2
Kexts,WhateverGreen.kext,latest,Patches for GPUs,.*RELEASE,https://github.com/acidanthera/WhateverGreen
